[2020-02-11 16:51:44]  INFO (airqualityService.AirqualityService_getStackStdr - main:335) - parsing complete!
[2020-02-11 16:56:36] DEBUG (airqualityService.AirqualityService_getStackStdr - main:277) - mgtNo :DG2005E013
[2020-02-11 16:56:36] DEBUG (airqualityService.AirqualityService_getStackStdr - main:277) - mgtNo :DG2006B001
[2020-02-11 16:56:36] DEBUG (airqualityService.AirqualityService_getStackStdr - main:277) - mgtNo :DG2006C001
[2020-02-11 16:56:36] DEBUG (airqualityService.AirqualityService_getStackStdr - main:277) - mgtNo :DG2006D001
[2020-02-11 16:56:36] DEBUG (airqualityService.AirqualityService_getStackStdr - main:277) - mgtNo :DG2006E009
[2020-02-11 16:56:36] DEBUG (airqualityService.AirqualityService_getStackStdr - main:277) - mgtNo :DG2006E010
[2020-02-11 16:56:36] DEBUG (airqualityService.AirqualityService_getStackStdr - main:277) - mgtNo :DG2006E012
[2020-02-11 16:56:37] DEBUG (airqualityService.AirqualityService_getStackStdr - main:277) - mgtNo :DG2007B001
[2020-02-11 16:56:37] DEBUG (airqualityService.AirqualityService_getStackStdr - main:277) - mgtNo :DG2007B002
[2020-02-11 16:56:37] DEBUG (airqualityService.AirqualityService_getStackStdr - main:277) - mgtNo :DG2007B003
[2020-02-11 16:56:37]  INFO (airqualityService.AirqualityService_getStackStdr - main:335) - parsing complete!
[2020-02-11 16:59:08] DEBUG (airqualityService.AirqualityService_getStackStdr - main:277) - mgtNo :DG2005E013
[2020-02-11 16:59:08] DEBUG (airqualityService.AirqualityService_getStackStdr - main:277) - mgtNo :DG2006B001
[2020-02-11 16:59:08] DEBUG (airqualityService.AirqualityService_getStackStdr - main:277) - mgtNo :DG2006C001
[2020-02-11 16:59:08] DEBUG (airqualityService.AirqualityService_getStackStdr - main:277) - mgtNo :DG2006D001
[2020-02-11 16:59:08] DEBUG (airqualityService.AirqualityService_getStackStdr - main:277) - mgtNo :DG2006E009
[2020-02-11 16:59:08] DEBUG (airqualityService.AirqualityService_getStackStdr - main:277) - mgtNo :DG2006E010
[2020-02-11 16:59:08] DEBUG (airqualityService.AirqualityService_getStackStdr - main:277) - mgtNo :DG2006E012
[2020-02-11 16:59:08] DEBUG (airqualityService.AirqualityService_getStackStdr - main:277) - mgtNo :DG2007B001
[2020-02-11 16:59:08] DEBUG (airqualityService.AirqualityService_getStackStdr - main:277) - mgtNo :DG2007B002
[2020-02-11 16:59:09] DEBUG (airqualityService.AirqualityService_getStackStdr - main:277) - mgtNo :DG2007B003
[2020-02-11 16:59:09]  INFO (airqualityService.AirqualityService_getStackStdr - main:335) - parsing complete!
[2020-02-11 17:00:33] DEBUG (airqualityService.AirqualityService_getStackStdr - main:273) - mgtNo :DG2005E013
[2020-02-11 17:00:33] DEBUG (airqualityService.AirqualityService_getStackStdr - main:273) - mgtNo :DG2006B001
